CodePays;Langue;Pourcentage
VIR;English;81,7
UMI;English;0
ZWE;Shona;72,1
PSE;Arabic;95,9
AFG;Dari;32,1
NLD;Fries;3,7
ANT;English;7,8
ALB;Greek;1,8
DZA;Berberi;14
ASM;English;3,1
AND;Catalan;32,3
AGO;Mbundu;21,6
ATG;English;0
ARE;Hindi;0
ARG;Italian;1,7
ARM;Azerbaijani;2,6
ABW;English;9,5
AUS;Italian;2,2
AZE;Russian;3
BHS;Creole French;10,3
BHR;English;0
BGD;Chakma;0,4
BRB;English;0
BEL;French;32,6
BLZ;Spanish;31,6
BEN;Joruba;12,2
BTN;Nepali;34,8
BOL;Ketšua;8,1
BWA;Shona;12,3
BRA;German;0,5
GBR;Kymri;0,9
BRN;Malay-English;28,8
BGR;Turkish;9,4
BFA;Ful;9,7
BDI;French;0
CHL;Araucan;9,6
COK;English;0
CRI;Creole English;2
DJI;Afar;34,8
DMA;Creole French;0
DOM;Creole French;2
ECU;Ketšua;7
EGY;Sinaberberi;0
SLV;Nahua;0
ERI;Tigre;31,7
ESP;Catalan;16,9
ZAF;Xhosa;17,7
ETH;Amhara;30
FJI;Hindi;43,7
PHL;Cebuano;23,3
FRO;Danish;0
GAB;Punu-sira-nzebi;17,1
GMB;Ful;16,2
GEO;Russian;8,8
GHA;Mossi;15,8
GIB;Arabic;7,4
GRL;Danish;12,5
GLP;French;0
GUM;Chamorro;29,6
GTM;Quiché;10,1
GIN;Malinke;23,2
GNB;Ful;16,6
GUY;Caribbean;2,2
HTI;French;0
HND;Garifuna;1,3
HKG;English;2,2
SJM;Russian;0
IDN;Sunda;15,8
IND;Bengali;8,2
IRQ;Kurdish;19
IRN;Azerbaijani;16,8
IRL;Irish;1,6
ISL;English;0
ISR;Arabic;18
ITA;Sardinian;2,7
TMP;Portuguese;0
AUT;Serbo-Croatian;2,2
JAM;Hindi;1,9
JPN;Korean;0,5
YEM;Soqutri;0
JOR;Circassian;1
CXR;English;0
YUG;Albaniana;16,5
KHM;Vietnamese;5,5
CMR;Bamileke-bamum;18,6
CAN;French;23,4
CPV;Portuguese;0
KAZ;Russian;34,7
KEN;Luhya;13,8
CAF;Banda;23,5
CHN;Zhuang;1,4
KGZ;Russian;16,2
KIR;Tuvalu;0,5
COL;Chibcha;0,4
COM;Comorian-French;12,9
COG;Teke;17,3
COD;Kongo;16
CCK;English;0
PRK;Chinese;0,1
KOR;Chinese;0,1
GRC;Turkish;0,9
HRV;Slovene;0
KWT;English;0
CYP;Turkish;22,4
LAO;Mon-khmer;16,5
LVA;Russian;32,5
LSO;Zulu;15
LBN;Armenian;5,9
LBR;Bassa;13,7
LBY;Berberi;1
LIE;Italian;2,5
LTU;Russian;8,1
LUX;Portuguese;13
MAC;Portuguese;2,3
MDG;French;0
MKD;Albaniana;22,9
MWI;Lomwe;18,4
MDV;English;0
MYS;Chinese;9
MLI;Ful;13,9
MLT;English;2,1
MAR;Berberi;33
MHL;English;0
MTQ;French;0
MRT;Wolof;6,6
MUS;Bhojpuri;21,1
MYT;French;20,3
MEX;Náhuatl;1,8
FSM;Pohnpei;23,8
MDA;Russian;23,2
MCO;Monegasque;16,1
MNG;Kazakh;5,9
MOZ;Tsonga;12,4
MMR;Shan;8,5
NAM;Nama;12,4
NRU;Kiribati;17,9
NPL;Maithili;11,9
NIC;Miskito;1,6
NER;Songhai-zerma;21,2
NGA;Hausa;21,1
NIU;English;0
NOR;English;0,5
CIV;Gur;11,7
OMN;Balochi;0
PAK;Pashto;13,1
PLW;Philippene Languages;9,2
PAN;Creole English;14
PNG;Malenasian Languages;20
PRY;Guaraní;40,1
PER;Ketšua;16,4
MNP;Chamorro;30
PRI;English;47,4
POL;German;1,3
GNQ;Bubi;8,7
QAT;Urdu;0
FRA;Arabic;2,5
GUF;Indian Languages;1,9
PYF;French;40,8
REU;Chinese;2,8
ROM;Hungarian;7,2
RWA;French;0
SWE;Finnish;2,4
KNA;English;0
LCA;English;20
VCT;English;0
DEU;Turkish;2,6
SLB;Papuan Languages;8,6
ZMB;Tongan;11
WSM;Samoan;47,5
STP;French;0,7
SEN;Ful;21,7
SYC;English;3,8
SLE;Temne;31,8
SGP;Malay;14,1
SVK;Hungarian;10,5
SVN;Serbo-Croatian;7,9
SOM;Arabic;0
LKA;Tamil;19,6
SDN;Dinka;11,5
FIN;Swedish;5,7
SUR;Hindi;0
SWZ;Zulu;2
CHE;French;19,2
SYR;Kurdish;9
TJK;Uzbek;23,2
TWN;Mandarin Chinese;20,1
TZA;Swahili;8,8
DNK;Turkish;0,8
THA;Lao;26,9
TGO;Kabyé;13,8
TKL;English;0
TON;English;0
TTO;Hindi;3,4
TCD;Arabic;12,3
CZE;Moravian;12,9
TUN;Arabic-French;26,3
TUR;Kurdish;10,6
TKM;Uzbek;9,2
TUV;Kiribati;7,5
UGA;Nkole;10,7
UKR;Russian;32,9
HUN;Romani;0,5
NCL;French;34,3
NZL;Maori;4,3
UZB;Russian;10,9
BLR;Russian;32
WLF;Futuna;0
VUT;English;28,3
VEN;Goajiro;0,4
RUS;Tatar;3,2
VNM;Tho;1,8
EST;Russian;27,8
USA;Spanish;7,5
VIR;Spanish;13,3
ZWE;Ndebele;16,2
PSE;Hebrew;4,1
AFG;Uzbek;8,8
NLD;Arabic;0,9
ANT;Dutch;0
ALB;Macedonian;0,1
ASM;Tongan;3,1
AND;Portuguese;10,8
AGO;Kongo;13,2
ARG;Indian Languages;0,3
ABW;Spanish;7,4
AUS;Greek;1,6
AZE;Lezgian;2,3
BGD;Marma;0,2
BEL;Italian;2,4
BLZ;Maya Languages;9,6
BEN;Adja;11,1
BTN;Asami;15,2
BOL;Aimará;3,2
BWA;San;3,5
BRA;Italian;0,4
GBR;Gaeli;0,1
BRN;Chinese;9,3
BGR;Romani;3,7
BFA;Gurma;5,7
BDI;Swahili;0
CHL;Aimará;0,5
CRI;Chibcha;0,3
DJI;Arabic;10,6
ERI;Afar;4,3
ESP;Galecian;6,4
ZAF;Afrikaans;14,3
ETH;Tigrinja;7,2
PHL;Ilocano;9,3
GAB;Mpongwe;14,6
GMB;Wolof;12,6
GEO;Armenian;6,8
GHA;Ewe;11,9
GUM;Philippene Languages;19,7
GTM;Cakchiquel;8,9
GIN;Susu;11
GNB;Balante;14,6
GUY;Arawakan;1,4
HND;Creole English;0,2
HKG;Fukien;1,9
IDN;Malay;12,1
IND;Telugu;7,8
IRQ;Azerbaijani;1,7
IRN;Kurdish;9,1
ISR;Russian;8,9
ITA;Friuli;1,2
AUT;Turkish;1,5
JPN;Chinese;0,2
JOR;Armenian;1
YUG;Hungarian;3,4
KHM;Chinese;3,1
CMR;Duala;10,9
CAN;Chinese;2,5
KAZ;Ukrainian;5
KEN;Luo;12,8
CAF;Mandjia;14,8
CHN;Mantšu;0,9
KGZ;Uzbek;14,1
COL;Creole English;0,1
COM;Comorian-madagassi;5,5
COG;Mboshi;11,4
COD;Mongo;13,5
LAO;Thai;7,8
LVA;Belorussian;4,1
LSO;English;0
LBN;French;0
LBR;Grebo;8,9
LIE;Turkish;2,5
LTU;Polish;7
LUX;Italian;4,6
MAC;Mandarin Chinese;1,2
MKD;Turkish;4
MWI;Yao;13,2
MYS;Tamil;3,9
MLI;Senufo and Minianka;12
MRT;Tukulor;5,4
MUS;French;3,4
MYT;Malagasy;16,1
MEX;Yucatec;1,1
FSM;Mortlock;7,6
MDA;Ukrainian;8,6
MCO;Italian;16,1
MNG;Dorbet;2,7
MOZ;Sena;9,4
MMR;Karen;6,2
NAM;Kavango;9,7
NRU;Chinese;8,5
NPL;Bhojpuri;7,5
NIC;Creole English;0,5
NER;Tamashek;10,4
NGA;Ibo;18,1
NOR;Danish;0,4
CIV;Malinke;11,4
PAK;Sindhi;11,8
PLW;English;3,2
PAN;Guaymí;5,3
PRY;Portuguese;3,2
PER;Aimará;2,3
MNP;Chinese;7,1
POL;Ukrainian;0,6
FRA;Portuguese;1,2
PYF;Chinese;2,9
REU;Comorian;2,8
ROM;Romani;0,7
SWE;Southern Slavic Languages;1,3
DEU;Southern Slavic Languages;1,4
SLB;Polynesian Languages;3,8
ZMB;Nyanja;7,8
WSM;English;0,6
SEN;Serer;12,5
SYC;French;1,3
SLE;Limba;8,3
SGP;Tamil;7,4
SVK;Romani;1,7
SVN;Hungarian;0,5
LKA;Mixed Languages;19,6
SDN;Nubian Languages;8,1
FIN;Russian;0,4
CHE;Italian;7,7
TJK;Russian;9,7
TWN;Hakka;11
TZA;Hehet;6,9
DNK;Arabic;0,7
THA;Chinese;12,1
TGO;Watyi;10,3
TTO;Creole English;2,9
TCD;Mayo-kebbi;11,5
CZE;Slovak;3,1
TUN;Arabic-French-English;3,2
TUR;Arabic;1,4
TKM;Russian;6,7
TUV;English;0
UGA;Kiga;8,3
UKR;Romanian;0,7
HUN;German;0,4
NCL;Polynesian Languages;11,6
UZB;Tadzhik;4,4
BLR;Ukrainian;1,3
VUT;French;14,2
VEN;Warrau;0,1
RUS;Ukrainian;1,3
VNM;Thai;1,6
EST;Ukrainian;2,8
USA;French;0,7
VIR;French;2,5
ZWE;English;2,2
AFG;Turkmenian;1,9
NLD;Turkish;0,8
AND;French;6,2
AGO;Luimbe-nganguela;5,4
ABW;Dutch;5,3
AUS;Canton Chinese;1,1
AZE;Armenian;2
BGD;Garo;0,1
BEL;Arabic;1,6
BLZ;Garifuna;6,8
BEN;Aizo;8,7
BOL;Guaraní;0,1
BWA;Khoekhoe;2,5
BRA;Japanese;0,4
BRN;English;3,1
BGR;Macedonian;2,6
BFA;Busansi;3,5
CHL;Rapa nui;0,2
CRI;Chinese;0,2
ERI;Hadareb;3,8
ESP;Basque;1,6
ZAF;Northsotho;9,1
ETH;Gurage;4,7
PHL;Hiligaynon;9,1
GAB;Mbete;13,8
GMB;Diola;9,2
GEO;Azerbaijani;5,5
GHA;Ga-adangme;7,8
GUM;Korean;3,3
GTM;Kekchí;4,9
GIN;Kissi;6
GNB;Portuguese;8,1
HND;Miskito;0,2
HKG;Hakka;1,6
IDN;Madura;4,3
IND;Marathi;7,4
IRQ;Assyrian;0,8
IRN;Gilaki;5,3
ITA;French;0,5
AUT;Hungarian;0,4
JPN;English;0,1
YUG;Romani;1,4
KHM;Tšam;2,4
CMR;Ful;9,6
CAN;Italian;1,7
KAZ;German;3,1
KEN;Kamba;11,2
CAF;Ngbaka;7,5
CHN;Hui;0,8
KGZ;Ukrainian;1,7
COL;Arawakan;0,1
COM;Comorian-Arabic;1,6
COG;Mbete;4,8
COD;Rwanda;10,3
LAO;Lao-Soung;5,2
LVA;Ukrainian;2,9
LBR;Gio;7,9
LTU;Belorussian;1,4
LUX;French;4,2
MAC;English;0,5
MKD;Romani;2,3
MWI;Ngoni;6,7
MYS;Iban;2,8
MLI;Soninke;8,7
MRT;Soninke;2,7
MUS;Hindi;1,2
MEX;Zapotec;0,6
FSM;Kosrean;7,3
MDA;Gagauzi;3,2
MCO;English;6,5
MNG;Bajad;1,9
MOZ;Lomwe;7,8
MMR;Rakhine;4,5
NAM;Afrikaans;9,5
NRU;Tuvalu;8,5
NPL;Tharu;5,4
NIC;Sumo;0,2
NER;Ful;9,7
NGA;Ful;11,3
NOR;Swedish;0,3
CIV;Kru;10,5
PAK;Saraiki;9,8
PLW;Chinese;1,6
PAN;Cuna;2
PRY;German;0,9
MNP;Korean;6,5
POL;Belorussian;0,5
FRA;Italian;0,4
REU;Malagasy;1,4
ROM;German;0,4
SWE;Arabic;0,8
DEU;Italian;0,7
ZMB;Lozi;6,4
SEN;Diola;5
SLE;Kono-vai;5,1
SVK;Czech and Moravian;1,1
SDN;Beja;6,4
FIN;Estonian;0,2
CHE;Romansh;0,6
TWN;Ami;0,6
TZA;Haya;5,9
DNK;German;0,5
THA;Malay;3,6
TGO;Kotokoli;5,7
TCD;Kanem-bornu;9
CZE;Polish;0,6
TKM;Kazakh;2
UGA;Soga;8,2
UKR;Bulgariana;0,3
HUN;Serbo-Croatian;0,2
UZB;Kazakh;3,8
BLR;Polish;0,6
RUS;Chuvash;0,9
VNM;Muong;1,5
EST;Belorussian;1,4
USA;German;0,7
ZWE;Nyanja;2,2
AFG;Balochi;0,9
AGO;Nyaneka-nkhumbi;5,4
AUS;Arabic;1
BGD;Khasi;0,1
BEL;German;1
BEN;Bariba;8,7
BWA;Ndebele;1,3
BRA;Indian Languages;0,2
BFA;Dagara;3,1
ERI;Bilin;3
ZAF;English;8,5
ETH;Somali;4,1
PHL;Bicol;5,7
GMB;Soninke;7,6
GEO;Osseetti;2,4
GHA;Gurma;3,3
GUM;Japanese;2
GTM;Mam;2,7
GIN;Kpelle;4,6
GNB;Malinke;6,9
HKG;Chiu chau;1,4
IDN;Minangkabau;2,4
IND;Tamil;6,3
IRQ;Persian;0,8
IRN;Luri;4,3
ITA;German;0,5
AUT;Slovene;0,4
JPN;Philippene Languages;0,1
YUG;Slovak;0,7
CMR;Tikar;7,4
CAN;German;1,6
KAZ;Uzbek;2,3
KEN;Kalenjin;10,8
CAF;Sara;6,4
CHN;Miao;0,7
KGZ;Tatar;1,3
COL;Caribbean;0,1
COM;Comorian-Swahili;0,5
COG;Punu;2,9
COD;Zande;6,1
LVA;Polish;2,1
LBR;Kru;7,2
LTU;Ukrainian;1,1
LUX;German;2,3
MKD;Serbo-Croatian;2
MYS;English;1,6
MLI;Tamashek;7,3
MRT;Ful;1,2
MUS;Tamil;0,8
MEX;Mixtec;0,6
FSM;Yap;5,8
MDA;Bulgariana;1,6
MNG;Buryat;1,7
MOZ;Shona;6,5
MMR;Mon;2,4
NAM;Herero;8
NRU;English;7,5
NPL;Tamang;4,9
NER;Kanuri;4,4
NGA;Ibibio;5,6
NOR;Saame;0
CIV;[South]Mande;7,7
PAK;Urdu;7,6
PAN;Embera;0,6
MNP;English;4,8
FRA;Spanish;0,4
REU;Tamil;0
ROM;Ukrainian;0,3
SWE;Spanish;0,6
DEU;Greek;0,4
ZMB;Chewa;5,7
SEN;Malinke;3,8
SLE;Bullom-sherbro;3,8
SVK;Ukrainian and Russian;0,6
SDN;Nuer;4,9
FIN;Saame;0
TWN;Atayal;0,4
TZA;Makonde;5,9
DNK;English;0,3
THA;Khmer;1,3
TGO;Ane;5,7
TCD;Ouaddai;8,7
CZE;German;0,5
UGA;Teso;6
UKR;Hungarian;0,3
HUN;Romanian;0,1
UZB;Karakalpak;2
RUS;Bashkir;0,7
VNM;Chinese;1,4
EST;Finnish;0,7
USA;Italian;0,6
AGO;Chokwe;4,2
AUS;Vietnamese;0,8
BGD;Santhali;0,1
BEL;Turkish;0,9
BEN;Somba;6,7
BFA;Dyula;2,6
ERI;Saho;3
ZAF;Tswana;8,1
ETH;Sidamo;3,2
PHL;Waray-waray;3,8
GEO;Abhyasi;1,7
GHA;Joruba;1,3
GIN;Yalunka;2,9
GNB;Mandyako;4,9
IDN;Batakki;2,2
IND;Urdu;5,1
IRN;Mazandarani;3,6
ITA;Albaniana;0,2
AUT;Polish;0,2
JPN;Ainu;0
YUG;Macedonian;0,5
CMR;Mandara;5,7
CAN;Polish;0,7
KAZ;Tatar;2
KEN;Gusii;6,1
CAF;Mbum;6,4
CHN;Uighur;0,6
KGZ;Kazakh;0,8
COG;Sango;2,6
COD;Ngala and Bangi;5,8
LVA;Lithuanian;1,2
LBR;Mano;7,2
MYS;Dusun;1,1
MLI;Songhai;6,9
MRT;Zenaga;1,2
MUS;Marathi;0,7
MEX;Otomí;0,4
FSM;Wolea;3,7
MNG;Dariganga;1,4
MOZ;Tswa;6
MMR;Chin;2,2
NAM;Caprivi;4,7
NPL;Newari;3,7
NGA;Kanuri;4,1
PAK;Balochi;3
PAN;Arabic;0,6
MNP;Carolinian;4,8
FRA;Turkish;0,4
ROM;Serbo-Croatian;0,1
SWE;Norwegian;0,5
DEU;Polish;0,3
ZMB;Nsenga;4,3
SEN;Soninke;1,3
SLE;Ful;3,8
SDN;Zande;2,7
TWN;Paiwan;0,3
TZA;Nyakusa;5,4
DNK;Swedish;0,3
THA;Kuy;1,1
TGO;Moba;5,4
TCD;Hadjarai;6,7
CZE;Silesiana;0,4
UGA;Lango;5,9
UKR;Belorussian;0,3
HUN;Slovak;0,1
UZB;Tatar;1,8
RUS;Chechen;0,6
VNM;Khmer;1,4
USA;Chinese;0,6
AGO;Luvale;3,6
AUS;Serbo-Croatian;0,6
BGD;Tripuri;0,1
BEN;Ful;5,6
ZAF;Southsotho;7,6
ETH;Walaita;2,8
PHL;Pampango;3
GIN;Loma;2,3
IDN;Bugi;2,2
IND;Gujarati;4,8
IRN;Balochi;2,3
ITA;Slovene;0,2
AUT;Czech;0,2
CMR;Maka;4,9
CAN;Spanish;0,7
KEN;Meru;5,5
CHN;Yi;0,6
KGZ;Tadzhik;0,8
COD;Rundi;3,8
LBR;Loma;5,8
MOZ;Chuabo;5,7
MMR;Kachin;1,4
NAM;San;1,9
NPL;Hindi;3
NGA;Edo;3,3
PAK;Hindko;2,4
SLE;Kuranko;3,4
SDN;Bari;2,5
TZA;Chaga and Pare;4,9
DNK;Norwegian;0,3
TGO;Naudemba;4,1
TCD;Tandjile;6,5
CZE;Romani;0,3
UGA;Lugbara;4,7
UKR;Polish;0,1
RUS;Mordva;0,5
VNM;Nung;1,1
USA;Tagalog;0,4
AGO;Ambo;2,4
AUS;German;0,6
ZAF;Tsonga;4,3
PHL;Pangasinan;1,8
IDN;Banja;1,8
IND;Kannada;3,9
IRN;Arabic;2,2
ITA;Romani;0,2
AUT;Romanian;0,2
CMR;Masana;3,9
CAN;Portuguese;0,7
KEN;Nyika;4,8
CHN;Tujia;0,5
COD;Teke;2,7
LBR;Malinke;5,1
MOZ;Ronga;3,7
MMR;Kayah;0,4
NAM;German;0,9
NGA;Tiv;2,3
PAK;Brahui;1,2
SLE;Yalunka;3,4
SDN;Fur;2,1
TZA;Luguru;4,9
TGO;Gurma;3,4
TCD;Gorane;6,2
CZE;Hungarian;0,2
UGA;Gisu;4,5
RUS;Kazakh;0,4
VNM;Miao;0,9
USA;Polish;0,3
AGO;Luchazi;2,4
ZAF;Swazi;2,5
PHL;Maguindanao;1,4
IDN;Bali;1,7
IND;Malajalam;3,6
IRN;Bakhtyari;1,7
CAN;Punjabi;0,7
KEN;Masai;1,6
CHN;Mongolian;0,4
COD;Boa;2,3
MOZ;Marendje;3,5
NGA;Ijo;1,8
SDN;Chilluk;1,7
TZA;Shambala;4,3
UGA;Acholi;4,4
RUS;Avarian;0,4
VNM;Man;0,7
USA;Korean;0,3
ZAF;Venda;2,2
PHL;Maranao;1,3
IND;Orija;3,3
IRN;Turkmenian;1,6
CAN;Ukrainian;0,6
KEN;Turkana;1,4
CHN;Tibetan;0,4
COD;Chokwe;1,8
MOZ;Nyanja;3,3
NGA;Bura;1,6
SDN;Lotuko;1,5
TZA;Gogo;3,9
UGA;Rwanda;3,2
RUS;Mari;0,4
USA;Vietnamese;0,2
ZAF;Ndebele;1,5
IND;Punjabi;2,8
CAN;Dutch;0,5
CHN;Puyi;0,2
TZA;Ha;3,5
RUS;Udmur;0,3
USA;Japanese;0,2
IND;Asami;1,5
CAN;Eskimo Languages;0,1
CHN;Dong;0,2
RUS;Belorussian;0,3
USA;Portuguese;0,2
